S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
1.0,0.058304443744090766,0.07942010715411282,0.07374724235739048,0.23069650173337536,0.21462338480932872,0.14387015442798615,0.4711629372833281,0.528837062716672,48005000101,48,005,000101
1.0,0.04809913883637891,0.0428481411468179,0.12791430371770637,0.240705734089477,0.15921024994749003,0.1146817895400126,0.47279983196807396,0.527200168031926,48005000102,48,005,000102
1.0,0.038490339973041784,0.09495282312415755,0.10543657331136738,0.2156657181368878,0.18706005691178673,0.14197993110678447,0.5571364385202936,0.44286356147970646,48005000200,48,005,000200
1.0,0.06297276853252648,0.1155446293494705,0.07980332829046899,0.20366868381240544,0.18835098335854766,0.15847201210287443,0.48770801815431164,0.5122919818456884,48005000301,48,005,000301
1.0,0.03717899578382522,0.0931391337677271,0.13510923725565352,0.15331544653123802,0.1690302798006899,0.17976236105787657,0.47719432732847833,0.5228056726715217,48005000302,48,005,000302
1.0,0.06723369785338193,0.07837181044957472,0.11057108140947752,0.1644390441474281,0.2292426083434589,0.18469015795868773,0.4637505062778453,0.5362494937221547,48005000400,48,005,000400
1.0,0.017115529826327712,0.10344827586206896,0.16259753335011326,0.15328467153284672,0.18676063428139944,0.14397180971558016,0.44374528064434937,0.5562547193556506,48005000500,48,005,000500
1.0,0.022175606832484266,0.11027869343721906,0.16886424932574168,0.13934671860952952,0.15103386275097394,0.12256517830386575,0.49385675756667663,0.5061432424333233,48005000600,48,005,000600
1.0,0.03834115805946792,0.1155451225873761,0.2081377151799687,0.13849765258215962,0.1452790818988002,0.07694314032342202,0.5273865414710485,0.4726134585289515,48005000700,48,005,000700
1.0,0.04432833305241868,0.07635260407888084,0.15118826900387664,0.19585369964604754,0.14933423226023934,0.17765042979942694,0.4822181021405697,0.5177818978594303,48005000800,48,005,000800
1.0,0.0683707072291046,0.06492080915791125,0.15791124353144112,0.18096283518896034,0.1437980241492865,0.18582405519836914,0.46228634153990905,0.537713658460091,48005000901,48,005,000901
1.0,0.023218142548596114,0.16603671706263498,0.17008639308855292,0.16576673866090713,0.16333693304535638,0.17980561555075594,0.44411447084233263,0.5558855291576674,48005000902,48,005,000902
