S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
2897,37,191,518,363,561,435,1480,1417,48027020800,48,027,020800
2887,66,288,406,337,474,663,1411,1476,48027020900,48,027,020900
4237,184,574,794,709,658,445,2140,2097,48027021000,48,027,021000
5747,81,612,1063,997,831,943,2406,3341,48027021100,48,027,021100
3344,68,309,920,663,305,516,1503,1841,48027021201,48,027,021201
4101,163,440,480,763,698,679,2045,2056,48027021202,48,027,021202
4556,159,677,398,779,959,928,2127,2429,48027021203,48,027,021203
5143,184,400,687,811,899,1271,2521,2622,48027021301,48,027,021301
2975,97,155,279,485,633,928,1387,1588,48027021302,48,027,021302
10237,243,507,2666,1575,1172,1291,5219,5018,48027021303,48,027,021303
4350,177,344,544,703,841,680,2314,2036,48027021400,48,027,021400
7386,402,1129,1032,1317,1205,644,3771,3615,48027021500,48,027,021500
5589,140,530,1041,784,801,724,2680,2909,48027021601,48,027,021601
2881,7,1856,97,280,156,172,999,1882,48027021602,48,027,021602
8754,437,813,1137,1628,1318,1506,4267,4487,48027021700,48,027,021700
9390,497,817,1381,1931,1477,1055,4633,4757,48027021800,48,027,021800
3535,150,400,435,676,636,654,1767,1768,48027021901,48,027,021901
9104,534,731,1262,2295,1521,805,4899,4205,48027021903,48,027,021903
12109,529,742,1876,2889,2028,1001,5927,6182,48027021904,48,027,021904
8180,380,963,819,1786,1544,776,4043,4137,48027022000,48,027,022000
4297,99,554,940,694,683,455,2091,2206,48027022101,48,027,022101
5648,309,701,1140,980,754,253,2891,2757,48027022103,48,027,022103
4196,90,455,1016,617,724,468,1883,2313,48027022104,48,027,022104
2101,81,132,610,266,311,168,1006,1095,48027022105,48,027,022105
3604,152,585,974,551,346,206,1804,1800,48027022200,48,027,022200
3775,172,547,766,595,512,384,1700,2075,48027022300,48,027,022300
5866,145,187,1612,662,981,582,2889,2977,48027022401,48,027,022401
7930,363,707,1266,1830,1121,358,3794,4136,48027022402,48,027,022402
4568,320,453,811,838,888,248,2244,2324,48027022403,48,027,022403
7439,478,670,1273,1475,1181,486,3611,3828,48027022404,48,027,022404
2101,74,602,461,290,256,136,1142,959,48027022405,48,027,022405
3026,142,275,619,396,529,453,1417,1609,48027022501,48,027,022501
12231,632,1236,2148,2891,1749,802,5993,6238,48027022502,48,027,022502
4251,259,689,704,762,508,279,2101,2150,48027022600,48,027,022600
2424,64,343,499,501,239,151,1344,1080,48027022801,48,027,022801
3555,118,508,751,479,615,402,1872,1683,48027022900,48,027,022900
10026,426,858,2006,1948,1095,733,4945,5081,48027023000,48,027,023000
4603,203,559,838,612,711,521,2121,2482,48027023103,48,027,023103
3181,119,424,536,407,510,370,1573,1608,48027023104,48,027,023104
15983,654,1368,3102,3705,1400,480,7707,8276,48027023105,48,027,023105
8719,350,1238,1765,2210,859,233,4657,4062,48027023106,48,027,023106
6917,287,1015,1481,1385,725,264,3418,3499,48027023107,48,027,023107
15257,692,1793,3575,2409,1700,657,7293,7964,48027023108,48,027,023108
1301,21,220,341,262,38,0,659,642,48027023201,48,027,023201
4665,26,2511,1102,228,55,0,3221,1444,48027023202,48,027,023202
1160,9,365,280,95,25,9,596,564,48027023203,48,027,023203
4724,16,3064,921,334,72,0,4001,723,48027023204,48,027,023204
8544,454,734,1120,1932,1770,1166,4246,4298,48027023300,48,027,023300
5479,287,372,599,1145,931,778,2859,2620,48027023402,48,027,023402
7023,381,251,558,1345,1262,1593,3509,3514,48027023403,48,027,023403
4090,246,283,401,740,969,652,2097,1993,48027023404,48,027,023404
2088,89,281,409,391,294,113,1090,998,48027023500,48,027,023500
80,0,53,8,19,0,0,68,12,48027980001,48,027,980001
3160,0,232,824,659,802,522,2073,1087,48029110100,48,029,110100
2977,60,136,737,579,527,224,1499,1478,48029110300,48,029,110300
2507,148,174,392,361,295,268,1111,1396,48029110500,48,029,110500
5293,76,569,1339,1313,772,757,3874,1419,48029110600,48,029,110600
1171,44,91,96,255,160,310,670,501,48029110700,48,029,110700
2024,34,179,393,388,309,464,1116,908,48029110800,48,029,110800
1669,10,164,687,357,246,137,1064,605,48029110900,48,029,110900
2948,127,454,506,557,477,392,1507,1441,48029111000,48,029,111000
4844,186,1136,819,946,167,25,2770,2074,48029120100,48,029,120100
8374,532,605,659,1840,1893,1305,4055,4319,48029120300,48,029,120300
6326,275,179,409,1224,1203,1400,3127,3199,48029120400,48,029,120400
9985,416,1174,1617,1902,1649,868,5514,4471,48029120501,48,029,120501
5327,182,443,735,1061,918,555,2729,2598,48029120502,48,029,120502
5850,240,520,998,1573,1079,664,3065,2785,48029120600,48,029,120600
6416,292,597,1215,919,1168,1018,2872,3544,48029120701,48,029,120701
4614,107,221,696,682,835,1433,1901,2713,48029120702,48,029,120702
6934,279,618,708,1215,1544,1158,3204,3730,48029120800,48,029,120800
2457,54,280,334,468,360,564,1344,1113,48029120901,48,029,120901
7551,92,1231,1422,1118,1117,1316,3421,4130,48029120902,48,029,120902
7798,223,886,1212,1345,1449,925,3605,4193,48029121000,48,029,121000
8109,236,993,1184,1552,1587,1355,3962,4147,48029121108,48,029,121108
5188,171,590,880,1019,915,656,2614,2574,48029121110,48,029,121110
6917,570,271,733,1607,1131,930,3750,3167,48029121111,48,029,121111
3717,58,363,954,567,542,784,1920,1797,48029121112,48,029,121112
5755,165,495,954,887,1244,1203,2826,2929,48029121115,48,029,121115
5399,53,337,962,1265,771,856,2776,2623,48029121116,48,029,121116
4623,191,520,589,899,920,806,2249,2374,48029121117,48,029,121117
6263,151,935,1270,982,1242,797,3250,3013,48029121118,48,029,121118
6176,331,440,1610,830,1269,609,3336,2840,48029121119,48,029,121119
5183,222,330,735,961,1106,658,2536,2647,48029121120,48,029,121120
2908,69,204,345,548,752,431,1514,1394,48029121121,48,029,121121
6009,214,468,843,1212,1273,975,2776,3233,48029121122,48,029,121122
4727,155,416,930,938,786,644,2413,2314,48029121203,48,029,121203
7789,319,714,1433,1605,1583,906,3939,3850,48029121204,48,029,121204
4627,197,723,796,575,669,366,2329,2298,48029121205,48,029,121205
8742,293,595,1203,1437,1666,1534,4507,4235,48029121206,48,029,121206
6588,367,671,438,1290,1398,1522,3097,3491,48029121300,48,029,121300
7500,347,673,1299,1808,1004,937,3718,3782,48029121402,48,029,121402
6281,247,383,1359,1084,929,888,3085,3196,48029121403,48,029,121403
5548,309,559,727,985,887,689,2697,2851,48029121404,48,029,121404
10037,246,1134,1592,2002,1712,1211,5017,5020,48029121501,48,029,121501
6553,227,591,885,1252,1232,1130,3154,3399,48029121504,48,029,121504
4858,246,477,837,896,918,595,2430,2428,48029121505,48,029,121505
